PULocationID,mean,std,median,p25,p75,p95
206,1.1224489795918366,0.43707807041548447,1.0,1.0,1.0,2.0
207,2.0919395465994963,1.4582410992454806,2.0,1.0,3.0,5.0
208,1.2083333333333333,0.5021692075819445,1.0,1.0,1.0,2.0
209,20.03924268502582,12.370201108281735,20.0,10.0,28.0,42.0
210,1.4808153477218224,0.844580950216642,1.0,1.0,2.0,3.0
211,74.07817811012916,50.38801507894107,73.0,27.0,112.0,158.0
212,1.29153605015674,0.6311812636258697,1.0,1.0,1.0,3.0
213,1.6705882352941177,1.1835135259069631,1.0,1.0,2.0,4.0
214,1.0833333333333333,0.34722813233740846,1.0,1.0,1.0,1.6499999999999986
215,2.1055408970976255,1.4595734684885762,2.0,1.0,3.0,5.0
216,2.1006477329347284,1.3466233310715483,2.0,1.0,3.0,5.0
217,1.4815140845070423,0.8361922274280855,1.0,1.0,2.0,3.0
218,1.4879385964912282,0.909679214253338,1.0,1.0,2.0,3.0
219,1.7264021887824896,1.0750613612887092,1.0,1.0,2.0,4.0
220,1.3725714285714286,0.6820195765841824,1.0,1.0,2.0,3.0
221,1.0465116279069768,0.21308263231644634,1.0,1.0,1.0,1.0
222,1.466484268125855,0.8959030529201374,1.0,1.0,2.0,3.0
223,5.0940261576528805,3.161438283971525,5.0,3.0,7.0,11.0
224,19.49338900487126,13.509950109585349,17.0,9.0,27.0,45.0
225,1.9408754974417282,1.323595925036198,2.0,1.0,2.0,4.0
226,14.110583446404341,8.386246553191947,13.0,9.0,17.0,30.0
227,1.1958266452648476,0.46433777011473704,1.0,1.0,1.0,2.0
228,1.5902964959568733,0.9600588139230601,1.0,1.0,2.0,3.0
229,183.93428184281842,105.70152162688291,202.0,85.75,260.0,350.0
230,335.99254742547424,201.2375519120978,332.0,168.0,443.0,704.4499999999998
231,159.59315718157183,91.87326880048653,172.0,81.0,219.0,315.4499999999998
232,13.432534246575342,10.940004397315555,11.0,7.0,17.0,34.0
233,126.58265582655827,78.7543995575532,139.0,49.75,184.0,246.0
234,293.80521680216805,185.44945814100416,303.0,122.75,426.25,609.0
235,1.4616822429906542,0.8607048756881288,1.0,1.0,2.0,3.0
236,383.4539295392954,291.2538405564945,376.0,74.0,637.25,840.0
237,420.16531165311653,302.35666657397525,454.0,95.0,683.0,868.4499999999998
238,191.5870596205962,125.39689294790608,204.0,64.0,294.0,386.4499999999998
239,250.78556910569105,160.1418903053812,290.0,82.0,376.0,485.4499999999998
240,1.1328125,0.40413402606514337,1.0,1.0,1.0,2.0
241,1.2397476340694007,0.6692977617419252,1.0,1.0,1.0,3.0
242,1.4605936540429887,0.8314593479021001,1.0,1.0,2.0,3.0
243,2.3140877598152425,1.7916447491807466,2.0,1.0,3.0,5.0
244,10.459951873496047,7.044967190924627,9.0,6.0,14.0,22.0
245,1.05,0.22360679774997907,1.0,1.0,1.0,1.0500000000000007
246,155.20054200542006,97.84105478998632,157.0,70.0,217.0,326.0
247,2.132888660851719,1.6708919154268205,2.0,1.0,3.0,5.0
248,1.2771929824561403,0.5751190123216202,1.0,1.0,1.0,2.0
249,182.42140921409214,117.60838208828415,159.0,110.0,231.0,422.4499999999998
250,1.2539912917271407,0.6034680825596674,1.0,1.0,1.0,2.0
251,1.1111111111111112,0.31872762915583835,1.0,1.0,1.0,2.0
252,1.131336405529954,0.4063975257375689,1.0,1.0,1.0,2.0
253,1.1058823529411765,0.3095130357961213,1.0,1.0,1.0,2.0
254,1.4828326180257512,0.8475182205382807,1.0,1.0,2.0,3.0
255,8.063386155129274,10.377528700076413,4.0,2.0,10.0,29.0
256,6.025502318392581,7.476708243374661,3.0,2.0,7.0,21.0
257,1.3007075471698113,0.6683249917036266,1.0,1.0,1.0,3.0
258,1.330781010719755,0.6834495032133207,1.0,1.0,1.0,3.0
259,1.2661870503597121,0.6160091208912362,1.0,1.0,1.0,2.0
260,5.087799717912553,3.7095205160018168,4.0,2.75,7.0,12.0
261,56.082964977898676,38.726591597817496,55.0,18.0,89.0,117.0
262,118.31351902173913,90.03589275966482,118.0,32.0,185.25,278.0
263,178.44241192411923,98.8144879019502,193.0,87.0,252.0,331.0
264,112.40074525745257,91.7297108745023,88.5,52.0,132.0,323.0
265,5.63556338028169,3.750487022435448,5.0,3.0,7.0,13.0
