zone_id,count,mean,std,variance,min,max,median,q25,q75,iqr,skewness,kurtosis,LocationID,Zone,Borough
168,274,1.6094890510948905,1.0642635391819375,1.1326568808320636,1,10,1.0,1.0,2.0,1.0,3.0168963081560043,15.264523423582538,168,Mott Haven/Port Morris,Bronx
169,86,1.244186046511628,0.6496342230848137,0.4220246238030095,1,4,1.0,1.0,1.0,0.0,3.139886498958712,10.079868458814754,169,Mount Hope,Bronx
170,674,126.12017804154303,84.71317979788621,7176.322831468997,1,329,140.0,38.25,192.0,153.75,0.04829384227640085,-1.1311270376951947,170,Murray Hill,Manhattan
171,51,1.0980392156862746,0.3608269369536767,0.13019607843137257,1,3,1.0,1.0,1.0,0.0,4.004475274299397,16.867562455378426,171,Murray Hill-Queens,Queens
172,6,1.1666666666666667,0.408248290463863,0.16666666666666666,1,2,1.0,1.0,1.0,0.0,2.449489742783178,5.999999999999998,172,New Dorp/Midland Beach,Staten Island
173,43,1.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,173,North Corona,Queens
174,103,1.233009708737864,0.597443630865439,0.35693889206167884,1,4,1.0,1.0,1.0,0.0,2.9652675273373403,9.224148058233675,174,Norwood,Bronx
175,31,1.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,175,Oakland Gardens,Queens
176,1,1.0,,,1,1,1.0,1.0,1.0,0.0,,,176,Oakwood,Staten Island
177,145,1.2551724137931035,0.5866490331728207,0.3441570881226053,1,4,1.0,1.0,1.0,0.0,2.603638829516971,7.133775572222213,177,Ocean Hill,Brooklyn
